City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,7.85,75,75,3.09,CA,1723605775
1,alice springs,-23.7,133.8833,24.75,18,0,3.09,AU,1723606016
2,waitangi,-43.9535,-176.5597,8.79,92,98,2.68,NZ,1723606017
3,st. john's,47.5649,-52.7093,12.76,95,100,6.71,CA,1723606019
4,adamstown,-25.066,-130.1015,21.89,86,100,7.45,PN,1723606020
5,bilibino,68.0546,166.4372,2.01,82,100,7.8,RU,1723606022
6,lebu,-37.6167,-73.65,10.79,94,100,1.4,CL,1723605872
7,castro,-24.7911,-50.0119,4.44,89,0,1.82,BR,1723606025
8,port-aux-francais,-49.35,70.2167,1.55,82,99,13.42,TF,1723606026
9,bredasdorp,-34.5322,20.0403,9.58,69,96,8.19,ZA,1723606028
10,minas de marcona,-15.2119,-75.1103,12.8,73,1,1.61,PE,1723606029
11,sisimiut,66.9395,-53.6735,6.72,69,100,1.3,GL,1723606030
12,port mathurin,-19.6833,63.4167,22.77,71,90,11.09,MU,1723605786
13,edinburgh of the seven seas,-37.0676,-12.3116,15.37,82,88,16.04,SH,1723605817
14,lorengau,-2.0226,147.2712,28.75,75,100,3.59,PG,1723606035
15,cannonvale,-20.2833,148.7,26.99,55,0,3.09,AU,1723606037
16,college,64.8569,-147.8028,16.15,60,75,2.57,US,1723606039
17,udachny,66.4167,112.4,8.4,64,100,3.48,RU,1723606041
18,rouissat,31.9243,5.3502,30.04,20,7,1.03,DZ,1723606043
19,madarounfa,13.3087,7.156,23.21,90,100,3.16,NE,1723606044
20,bubaque,11.2833,-15.8333,26.29,89,100,6.02,GW,1723606045
21,severo-yeniseyskiy,60.3725,93.0408,17.67,46,100,0.34,RU,1723606047
22,port shepstone,-30.7414,30.455,19.84,64,52,4.86,ZA,1723606049
23,blackmans bay,-43.0167,147.3167,18.18,57,69,1.79,AU,1723606050
24,mejit,10.2753,170.8646,28.49,76,100,7.24,MH,1723606052
25,mel'nikovo,56.5558,84.085,21.81,60,100,4.46,RU,1723606053
26,varadero,23.1536,-81.2514,23.42,85,94,4.6,CU,1723606055
27,georgetown,5.4112,100.3354,29.96,78,20,1.54,MY,1723606056
28,antsiranana,-12.2787,49.2917,21.69,79,15,7.78,MG,1723606060
29,antofagasta,-23.65,-70.4,14.6,77,37,1.34,CL,1723606062
30,dixon,38.4455,-121.8233,27.32,45,0,4.12,US,1723605862
31,kapuskasing,49.4169,-82.4331,18.05,94,75,2.06,CA,1723606065
32,palikir - national government center,6.9248,158.1611,31.47,74,75,2.57,FM,1723606068
33,diamantino,-14.4086,-56.4461,21.07,23,60,1.35,BR,1723606069
34,jamestown,42.097,-79.2353,16.8,90,0,0.0,US,1723605808
35,island harbour,50.724,-1.2758,18.51,90,99,0.45,GB,1723606072
